5;24;0.003
5;22;0.002
5;20;0.001
5;18;0.013
5;16;0.008
5;14;0.033
5;12;0.009
5;10;0.002
5;8;0
5;6;0
5;4;0
5;2;0
3;8;0
3;6;0
3;4;0
3;2;0
3;9;0.002
3;7;0
3;5;0
3;3;0
3;1;0
3;8;0
3;6;0
3;4;0
3;2;0
3;9;0.002
3;7;0
3;5;0
3;3;0
3;1;0
9;80;0.002
9;78;0.002
9;76;0.002
9;74;0.002
9;72;0.001
9;70;0.001
9;68;0.001
9;66;0.001
9;64;0.001
9;62;0.001
9;60;0.001
9;58;0.001
9;56;0.001
9;54;0.001
9;52;0
9;50;0.001
9;48;0
9;46;0
9;44;0
9;42;0
9;40;0
9;38;0
9;36;0
9;34;0
9;32;0
9;30;0
9;28;0
9;26;0
9;24;0.003
9;22;0.003
9;20;0.001
9;18;0.018
9;16;0.011
9;14;0.042
9;12;0.014
9;10;0.003
9;8;0
9;6;0
9;4;0
9;2;0
